Row.names,logFC,logCPM,LR,PValue,FDR,Protein.Name
gene1,0.135129375,2.681435153,0.028478733,0.86598823,0.993795637,UNC5C-like protein
gene100,-0.322556433,5.410831137,0.777716998,0.377840274,0.939088885,double-stranded RNA-specific editase 1-like isoform X1
gene1000,0.433433397,4.154569748,0.232885143,0.629392742,0.98077436,ETS translocation variant 1-like
gene10001,0.556545985,3.507535806,0.783026937,0.376216991,0.939088885,mutS protein homolog 4-like isoform X1
gene10003,0.247787793,3.980806812,0.307419835,0.57926781,0.97701797,integrator complex subunit 10-like
gene10005,-0.239549177,3.537389192,0.340055478,0.559797201,0.974759326,GRAM domain-containing protein 1B-like isoform X1
gene10006,-0.054336091,2.330811583,0.005724926,0.939687022,0.995157837,surfeit locus protein 1-like
gene10007,-0.145153365,4.318625623,0.011950155,0.912951249,0.993795637,probable NADH dehydrogenase
gene10009,-0.474183542,2.808110429,0.414332553,0.519778624,0.965262428,LOW QUALITY PROTEIN: GRAM domain-containing protein 1B-like
gene1001,-0.295679654,6.036483006,0.42742754,0.513253922,0.964536301,LOW QUALITY PROTEIN: diacylglycerol kinase beta-like
gene10010,-0.547889005,2.903783669,0.683062658,0.4085341,0.945588216,uncharacterized protein LOC111124199
gene10011,-0.476167386,4.591846235,0.077432364,0.780807626,0.988155915,probable NADH dehydrogenase
gene10012,0.346373353,3.566973877,0.41878771,0.517542574,0.965262428,LOW QUALITY PROTEIN: porphobilinogen deaminase-like
gene10013,1.020966967,2.556151731,1.337881773,0.247407868,0.921352369,cell wall protein DAN4-like
gene10016,2.603047204,3.897461642,12.08666708,0.000507837,0.142841368,lysosomal thioesterase PPT2-A-like
gene10018,-0.669191067,5.072009706,2.188108433,0.139080025,0.864329875,lysosomal thioesterase PPT2-A-like isoform X1
gene1002,-0.375988597,4.980153424,0.885010154,0.346833101,0.932260097,chromatin accessibility complex protein 1-like isoform X1
gene10020,-0.981175806,4.822630267,1.98028598,0.159360283,0.884593411,piRNA biogenesis protein EXD1-like
gene10024,-0.993911805,5.424699236,10.06696185,0.001509517,0.273065415,LOW QUALITY PROTEIN: F-box only protein 38-like
gene10026,-0.694551412,4.822433667,1.696226919,0.192782154,0.898420206,transcriptional protein SWT1-like isoform X1
gene10027,-0.205467425,4.529847889,0.335942493,0.562180708,0.974759326,"endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase-like isoform X1"
gene10028,-0.126503646,7.036380489,0.252894743,0.615044135,0.978656963,eukaryotic translation initiation factor 3 subunit G-like
gene10029,-0.164802213,6.142939122,0.397361197,0.528455201,0.967268978,"LOW QUALITY PROTEIN: alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B-like"
gene10033,-0.477649163,8.125899028,2.169993997,0.140726783,0.864640145,uncharacterized protein LOC111122494
gene10034,-0.410457172,3.368760395,0.631510667,0.426801732,0.951191006,uncharacterize lncRNA
gene10035,0.510901446,8.043651451,1.277630318,0.258340103,0.924331771,"LOW QUALITY PROTEIN: dynein heavy chain 8, axonemal-like"
gene10038,0.002241666,4.11603341,2.73E-06,0.998682244,0.999952937,uncharacterize lncRNA
gene10048,-0.211514226,5.12854626,0.337535467,0.561255264,0.974759326,frizzled-5-like
gene10052,-0.344196953,4.128897668,0.097653353,0.754664085,0.987968907,Transposon Ty3-I Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p52 (IN); Integrase p49 (IN)]
gene10053,-0.437792222,5.86221607,1.024464915,0.311462255,0.932260097,Krueppel-like factor 6
gene10055,0.192184874,6.423566407,0.379439206,0.537903517,0.968839751,uncharacterized protein LOC111122604 isoform X1
gene10056,1.352617954,2.386337571,3.12494693,0.077102382,0.792482109,vegetative cell wall protein gp1-like
gene10058,-0.091268857,4.930334592,0.033518355,0.854735102,0.993015535,ubiquitin-conjugating enzyme E2 E1 isoform X1
gene10062,1.043545292,4.370426483,0.80507439,0.369580528,0.937802659,sodium bicarbonate cotransporter 3-like isoform X1
gene10066,0.010233115,4.588248473,0.000549332,0.981301033,0.998583323,DNL-type zinc finger protein-like
gene10067,-0.189283882,6.049463927,0.16097416,0.688261211,0.984120103,guanylate kinase-like isoform X2
gene10069,-0.407955805,4.675136317,1.343831533,0.246359398,0.921352369,SUN domain-containing ossification factor-like
gene10071,-0.15267934,8.240698034,0.259001247,0.610807143,0.978656963,kinesin-like protein KIF20B
gene10073,-0.023223144,5.950415894,0.003722432,0.951349859,0.997184316,C2 domain-containing protein 2-like isoform X10
gene10074,0.847745924,4.968973099,4.404247842,0.03584953,0.692336612,toll-like receptor 3 isoform X1
gene10075,0.560393918,3.281258561,0.818352793,0.365662211,0.93611029,LOW QUALITY PROTEIN: cytoskeleton-associated protein 2-like
gene10076,-0.266263899,4.549406121,0.680951636,0.409259224,0.945683267,filamin A-interacting protein 1-like isoform X1
gene10077,-0.158156555,4.248964729,0.117952281,0.731266106,0.986801184,LOW QUALITY PROTEIN: valine--tRNA ligase-like
gene10078,-0.381631252,3.439885444,0.471044922,0.492506848,0.959947443,general transcription factor IIH subunit 4-like
gene1008,0.549739648,6.017069278,3.688773993,0.054779868,0.74929155,ETS homologous factor (ETS domain-containing transcription factor)
gene10080,-1.355011758,4.422921901,5.708254399,0.016885322,0.543870871,vesicle-trafficking protein SEC22b-like
gene10081,0.218836235,6.107347213,0.581984821,0.445535384,0.955233613,WAS/WASL-interacting protein family member 1-like
gene10082,0.194942985,3.67177962,0.17905541,0.672186266,0.98354685,iduronate 2-sulfatase-like isoform X1
gene10083,-0.189090951,8.745851005,0.509942447,0.475163771,0.957290126,CD63 antigen-like
gene10085,-0.248325442,7.583228401,0.677543155,0.410434016,0.946141283,armadillo repeat-containing protein 4-like isoform X1
gene10086,-0.320576602,4.30521452,0.158984027,0.690093626,0.984120103,"nuclear receptor subfamily 4 group A member 2-like, partial"
gene10087,-0.212082984,4.833744007,0.350122238,0.554043942,0.972661423,uncharacterized protein LOC111124862 isoform X1
gene10090,-0.531367488,8.332510399,3.839367056,0.050062416,0.733082881,protein transport protein Sec61 subunit beta-like
gene10092,-0.61729302,7.364068305,1.445459385,0.229257932,0.915303693,thioredoxin-like
gene10093,-0.422939644,2.648416295,0.359917192,0.548552228,0.970301482,tumor necrosis factor receptor superfamily member 16-like
gene10094,0.202692104,3.643447994,0.165155579,0.684453583,0.984120103,caspase-8-like
gene10099,1.604184609,3.758258525,3.839245628,0.050066042,0.733082881,uncharacterized protein LOC111122989
gene101,0.025506492,4.608625725,0.003812053,0.950768431,0.997184316,LOW QUALITY PROTEIN: X-ray repair cross-complementing protein 5-like
gene10103,1.035041898,4.06425425,2.505177806,0.113472677,0.840276016,uncharacterized protein LOC111125802 isoform X1
gene10104,-0.058656709,5.803529964,0.027552509,0.868165225,0.993795637,"dynein beta chain, flagellar outer arm-like"
gene10105,0.590713665,3.095321641,0.659375462,0.416780515,0.949103605,beta-secretase 1-like
gene10106,0.65344744,3.26282951,1.235270962,0.266384405,0.925547887,G protein pathway suppressor 2-like
gene10107,-0.089739889,2.444012288,0.010699346,0.917615639,0.993795637,coiled-coil domain-containing protein 84-like
gene10113,2.295068854,3.896010922,5.958036427,0.014650349,0.537211379,uncharacterized protein LOC111126425 isoform X1
gene10114,-0.890493759,3.693495083,0.872884474,0.350158,0.932260097,coronin-7-like
gene10115,-0.073120947,2.299695929,0.007559578,0.930714569,0.993795637,"protein tumorous imaginal discs, mitochondrial-like isoform X1"
gene10116,-0.898205164,3.123363934,1.332505229,0.248360024,0.921674566,protein arginine N-methyltransferase 9-like
gene10118,0.126624522,4.560663021,0.107221202,0.74333021,0.987968907,E3 ubiquitin-protein ligase HERC2-like isoform X1
gene10119,-0.226669165,4.233782459,0.385054228,0.534910634,0.967596383,titin homolog isoform X1
gene1012,0.75064304,4.019860654,1.694101783,0.193061145,0.898420206,apoptosis regulator BAX-like isoform X1
gene10120,-0.845070251,4.320203225,0.938349767,0.332702601,0.932260097,N-acetylneuraminate 9-O-acetyltransferase-like isoform X1
gene10121,-1.539336644,2.84649656,2.720664337,0.09905678,0.825167704,dentin sialophosphoprotein-like isoform X4
gene10127,-1.515772651,3.719711389,3.003690567,0.083075079,0.811075042,uncharacterized protein LOC111127487
gene1013,0.327246578,4.001125709,0.096465002,0.756113733,0.987968907,uncharacterized protein LOC111106011
gene10139,0.079369816,5.409425519,0.023469444,0.878242607,0.993795637,coatomer subunit delta-like
gene1014,-1.831108001,3.699801217,9.289195225,0.002305094,0.29998907,LOW QUALITY PROTEIN: homeobox protein DBX1-A-like
gene10140,0.001306741,3.698028086,1.11E-06,0.999160566,0.999952937,LOW QUALITY PROTEIN: uncharacterized protein LOC111123634
gene10142,0.091457391,4.078516279,0.016274742,0.898487296,0.993795637,vang-like protein 2
gene10143,0.251304506,3.855731085,0.146321068,0.702076164,0.985023853,archaemetzincin-2-like isoform X1
gene10144,-0.133147562,3.536903964,0.028629143,0.865638161,0.993795637,archaemetzincin-2-like isoform X1
gene10145,-0.131372229,5.09342734,0.164633617,0.684925798,0.984120103,monocarboxylate transporter 12-like
gene10147,-0.75893968,5.001979224,2.820359128,0.093075576,0.823220557,predicted GPI-anchored protein 58 isoform X1
gene1015,0.344990287,4.469902206,0.688549481,0.406658194,0.945588216,uncharacterized protein LOC111132096
gene10150,-0.215293262,2.54803601,0.08690959,0.768143362,0.987968907,protein FAM166B-like
gene10151,0.064593845,5.13811213,0.010992474,0.916498804,0.993795637,uncharacterized protein LOC111122843
gene10153,-1.429664559,3.448586878,1.863039868,0.172274366,0.891085688,uncharacterized protein LOC111124720 isoform X1
gene10155,-0.481609898,5.237198809,2.895608609,0.088821225,0.818306546,uncharacterized protein LOC111124719 isoform X1
gene10156,0.46858188,5.18445296,1.261311785,0.261402934,0.92508069,"dynein beta chain, flagellar outer arm-like isoform X1"
gene10159,-0.465230048,4.922766771,0.848300229,0.35703364,0.932260097,G protein pathway suppressor 2-like
gene10160,-0.952051266,2.815731139,1.430080201,0.23175135,0.916331732,coiled-coil domain-containing protein 84-like
gene10164,0.550807715,4.224025422,0.439781137,0.50722811,0.963408471,coronin-7-like
gene10165,-0.213538995,4.264888622,0.212736726,0.64463079,0.981107713,"protein tumorous imaginal discs, mitochondrial-like isoform X1"
gene10166,-0.181470077,3.109779775,0.042806642,0.836089784,0.992241237,protein arginine N-methyltransferase 9-like
gene10167,-0.486293944,5.913681885,1.339137477,0.247186133,0.921352369,uncharacterized protein LOC111126120
gene10168,0.292755251,3.003869678,0.162638656,0.686738699,0.984120103,E3 ubiquitin-protein ligase HERC2-like isoform X1
gene10169,-0.970695736,4.924954655,8.548538402,0.003457998,0.354676879,titin homolog isoform X7
gene1017,-0.472972107,4.839135777,0.270918172,0.602716519,0.978656963,uncharacterized protein LOC111105895
gene10170,-1.06016239,4.073933007,4.493533336,0.034023288,0.675776892,N-acetylneuraminate 9-O-acetyltransferase-like isoform X1
gene10171,-0.187113974,3.575235545,0.169851629,0.680243704,0.98354685,uncharacterized protein LOC111124597 isoform X1
gene10174,-0.642067418,2.468553847,0.775219188,0.378607282,0.939088885,gamma-aminobutyric acid type B receptor subunit 2-like
gene10177,-0.465267724,3.96065583,0.560590237,0.454022525,0.956091449,uncharacterized protein LOC111126838
gene10188,0.667809548,2.561181702,0.809681431,0.368214452,0.937802659,LOW QUALITY PROTEIN: mitochondrial import receptor subunit TOM40 homolog 1-like
gene10189,-0.452966866,4.285578105,0.328495069,0.566546593,0.975149553,coatomer subunit delta-like
gene10190,-0.02550612,4.488413289,0.003150072,0.955241829,0.997184316,uncharacterized protein LOC111123483 isoform X1
gene10192,1.930387811,3.222669259,4.30319591,0.038040823,0.697546512,vang-like protein 2
gene10194,0.610917967,4.681943851,1.719915714,0.189703895,0.898420206,archaemetzincin-2-like
gene10195,0.042977199,5.563860589,0.012964123,0.909348694,0.993795637,uncharacterized protein LOC111126544
gene10196,0.569153643,2.490007799,0.767236937,0.381073187,0.939186072,ABC transporter G family member 20-like
gene10198,-0.421889412,4.423071476,0.746653349,0.387537873,0.940015799,LOW QUALITY PROTEIN: ribose-5-phosphate isomerase-like
gene102,-0.131036364,2.971790439,0.042399354,0.836860406,0.992241237,uncharacterized protein LOC111134573 isoform X1
gene10200,-0.390650836,4.200017437,0.849086801,0.356810806,0.932260097,gastrula zinc finger protein XlCGF57.1-like
gene10201,0.364680559,7.136330988,1.261513729,0.261364757,0.92508069,nuclear factor NF-kappa-B p100 subunit-like isoform X1
gene10203,-0.002605198,6.407004579,0.000114313,0.991469402,0.999243796,zinc finger protein 624-like
gene10205,0.350766826,5.335144212,1.23541326,0.266356865,0.925547887,uncharacterized protein LOC111126143
gene10206,-0.942494134,2.268153115,1.652740512,0.198586343,0.900688487,uncharacterized protein LOC111126633
gene10207,-0.184733793,3.842575521,0.174482456,0.676158449,0.98354685,LOW QUALITY PROTEIN: zinc finger protein 493-like
gene1021,0.044613231,3.2649309,0.002431152,0.960674869,0.997272245,uncharacterized protein LOC111111383
gene10210,0.379149863,5.617968195,1.412464892,0.234647638,0.916485286,COMM domain-containing protein 5-like
gene10211,-0.038430414,4.596032195,0.010394862,0.918792238,0.993795637,LOW QUALITY PROTEIN: LON peptidase N-terminal domain and RING finger protein 1-like
gene10212,-0.003993622,6.403021577,0.000166073,0.989717998,0.999243796,uncharacterized protein LOC111124221
gene10213,0.007787316,5.269769722,0.000790984,0.977562907,0.998340714,exocyst complex component 1-like isoform X1
gene10215,0.343689729,5.092999925,0.893532638,0.344521789,0.932260097,uncharacterized protein LOC111122928
gene10216,-1.123745887,3.392673275,3.545450018,0.059708968,0.763950624,LOW QUALITY PROTEIN: uncharacterized protein LOC111124222
gene10217,0.033903524,4.03218365,0.005621709,0.940232171,0.995246065,uncharacterize lncRNA
gene10218,0.587880288,4.219151624,1.392035794,0.238061604,0.916485286,uncharacterized protein LOC111124223
gene10219,-0.136592369,5.351087659,0.12320749,0.725581413,0.986220354,LOW QUALITY PROTEIN: nuclear pore complex protein Nup54-like
gene1022,1.138425522,4.916410009,4.195062944,0.040541848,0.699822258,LOW QUALITY PROTEIN: uncharacterized protein LOC111116459
gene10221,-0.290782125,6.00726232,0.565960587,0.451868551,0.956091449,LOW QUALITY PROTEIN: uncharacterized protein LOC111123029
gene10222,5.437519129,4.359101395,21.42403353,3.68E-06,0.005836163,complement C1q tumor necrosis factor-related protein 7-like
gene10223,1.377600278,5.711939319,1.833086124,0.175763462,0.89174321,multimerin-2-like
gene10224,0.86561973,4.672253002,0.333402865,0.563662195,0.974871053,complement C1q tumor necrosis factor-related protein 2-like
gene10225,-0.433092634,5.01278953,0.282898427,0.594807748,0.978656963,multimerin-2-like
gene10226,0.557182262,4.313783239,0.208452626,0.647982933,0.981107713,multimerin-2-like
gene10227,-0.542407731,2.241667462,0.578649393,0.446842203,0.956091449,"acylglycerol kinase, mitochondrial-like"
gene1023,0.1371909,4.859583201,0.033381637,0.855028375,0.993015535,uncharacterized protein LOC111118560
gene10233,-0.564779764,7.703924995,1.530454692,0.216044216,0.909789761,cytochrome b-c1 complex subunit 8-like
gene10234,-0.044696255,4.629587605,0.007979907,0.928819396,0.993795637,LOW QUALITY PROTEIN: probable phosphorylase b kinase regulatory subunit alpha
gene10235,-0.622097854,3.546969296,1.120984347,0.289706597,0.930456639,probable protein S-acyltransferase 23 isoform X1
gene10236,-0.635998464,6.34232697,2.429222603,0.119091946,0.851340419,E3 ubiquitin-protein ligase RBX1
gene10237,-0.644344302,3.359250261,0.869872668,0.350990562,0.932260097,uncharacterized protein LOC111127649
gene10238,-1.381403964,2.675859421,2.598551737,0.106961417,0.836832732,uncharacterized protein LOC111122878 isoform X1
gene10239,-0.366224543,3.780255039,0.235377051,0.627565174,0.98077436,calcium load-activated calcium channel-like isoform X1
gene10240,-2.244145866,5.85515593,4.118313032,0.04242136,0.702488874,lachesin-like
gene10241,-2.424824685,2.307295044,6.296583431,0.012097091,0.517523202,arylsulfatase B-like
gene10244,-0.766914054,5.002404789,2.605279462,0.106508381,0.835280082,uncharacterized protein LOC111127221 isoform X1
gene10245,0.976531689,2.357031006,1.183838453,0.276575946,0.928733489,uncharacterized protein LOC111126787
gene10247,0.604901434,2.655607357,1.024669426,0.311413963,0.932260097,SLAIN motif-containing protein 2-like isoform X1
gene10248,-0.176571736,4.422883663,0.173886804,0.676680333,0.98354685,transcriptional regulator ATRX-like
gene10249,-0.417776695,4.345930227,0.562785153,0.453140234,0.956091449,uncharacterized protein LOC111127508 isoform X1
gene10253,-0.933411667,2.871541353,1.209755132,0.271380623,0.928587165,mitochondrial import inner membrane translocase subunit Tim16-like
gene10254,-0.542656765,3.437199739,0.802140161,0.370454266,0.937802659,leucine-rich repeat-containing protein 59-like
gene10256,-0.150112324,5.767188504,0.068223556,0.793941059,0.98984769,uncharacterized protein LOC111126484
gene10257,-0.120472785,2.79358042,0.014517571,0.904095885,0.993795637,aminoacyl tRNA synthase complex-interacting multifunctional protein 1-like
gene10258,1.594071993,2.38801655,3.988594751,0.045809254,0.716820758,tripartite motif-containing protein 2-like
gene10259,-1.192485381,2.59357782,2.107276487,0.146600025,0.875833449,uncharacterized protein LOC111124928 isoform X1
gene1026,0.206351162,5.713044892,0.537233791,0.463581399,0.956091449,LOW QUALITY PROTEIN: transforming growth factor-beta receptor-associated protein 1-like
gene10260,-0.130214743,3.294925775,0.035809223,0.849910008,0.992857051,glycogen synthase kinase-3 beta-like
gene10261,0.314964042,4.633337627,0.136079262,0.712210294,0.986220354,uncharacterized protein LOC111124926
gene10262,0.054833038,3.716630849,0.002600549,0.959329044,0.997272245,caspase-7-like isoform X1
gene10267,-0.729394847,3.146514734,0.608047779,0.435523804,0.953854878,uncharacterized protein LOC111122824
gene10268,-0.932721427,2.293303072,1.149384182,0.283678099,0.928733489,uncharacterized protein LOC111122822 isoform X1
gene1027,-0.190347879,8.317522207,1.042968438,0.307132095,0.932260097,LOW QUALITY PROTEIN: Na(+)/H(+) exchange regulatory cofactor NHE-RF2-like
gene10270,-0.182995163,3.334525044,0.129958885,0.718474672,0.986220354,tripartite motif-containing protein 2-like
gene10271,1.003218541,3.184305043,0.59978736,0.438659169,0.953854878,gastric triacylglycerol lipase-like isoform X1
gene10274,-1.486538517,2.532648024,2.796499222,0.094470369,0.824370989,multimerin-2-like
gene10279,-0.677678209,3.05234419,0.83950977,0.359537015,0.932292887,uncharacterized protein LOC111127039
gene10283,-0.231243513,6.346403851,0.052944777,0.818016146,0.992241237,cytochrome b-c1 complex subunit 8-like
gene10284,-0.422600798,5.011640224,0.968389028,0.32508228,0.932260097,"phosphorylase b kinase regulatory subunit alpha, liver isoform-like isoform X1"
gene10285,-0.92871447,3.236364175,2.746752829,0.097452159,0.825167704,probable protein S-acyltransferase 23 isoform X1
gene10286,-0.648704688,4.868850884,0.9324863,0.334217694,0.932260097,E3 ubiquitin-protein ligase RBX1
gene10287,-1.069715962,2.344427538,1.301803991,0.253883967,0.921674566,uncharacterized protein LOC111123234
gene10288,0.214409671,4.67086165,0.167568227,0.682282106,0.984120103,calcium load-activated calcium channel-like
gene10289,-1.072557253,6.599946278,3.942954687,0.047068038,0.722552395,lachesin-like
gene10292,0.65070199,3.624746645,1.109194359,0.292257144,0.930456639,uncharacterized RING finger protein ECU07_0330-like
gene10293,-0.243319005,3.677128708,0.172998887,0.677460239,0.98354685,uncharacterized protein LOC111122912 isoform X1
gene10294,-1.254448735,2.434206258,3.482511786,0.062020533,0.771175114,leucine zipper protein 1-like
gene10296,0.781538139,2.8183602,1.534662096,0.215414094,0.909234265,SLAIN motif-containing protein 2-like isoform X1
gene10297,0.128490359,5.903547843,0.136194815,0.712093574,0.986220354,transcriptional regulator ATRX-like isoform X1
gene10298,-0.340629301,5.204068094,0.610344843,0.434658,0.95381916,uncharacterized protein LOC111126475 isoform X1
gene10299,-1.319739318,2.863674455,3.771799151,0.052123539,0.742042465,heat shock 70 kDa protein 12B-like
gene10303,0.129905412,4.381771382,0.076871507,0.781582688,0.988398875,leucine-rich repeat-containing protein 59-like
gene10305,-0.464625971,6.658403188,1.055950342,0.304140639,0.932260097,uncharacterized protein LOC111126070
gene10306,-0.328494614,4.164311155,0.425620716,0.514145657,0.964536301,aminoacyl tRNA synthase complex-interacting multifunctional protein 1-like
gene10307,-0.772757144,2.321972364,0.845416988,0.357852091,0.932260097,tripartite motif-containing protein 2-like
gene10308,-0.911615931,3.341465764,1.674880309,0.19560613,0.898420206,uncharacterized protein LOC111122981
gene10309,-0.210179143,4.695469131,0.251606303,0.615946295,0.978656963,glycogen synthase kinase-3 beta-like
gene10310,0.199268164,6.246615282,0.417132335,0.518371433,0.965262428,uncharacterized protein LOC111125071 isoform X1
gene10315,0.965265289,2.301502066,1.383363413,0.239529066,0.917389913,uncharacterized protein LOC111127156
gene10318,-1.430432615,2.457135016,4.935114315,0.026316322,0.628728958,tripartite motif-containing protein 2-like
gene1032,-0.134060381,4.469266993,0.067839617,0.794508662,0.98984769,ATP-dependent DNA helicase RecQ-like isoform X1
gene10321,0.319309775,3.384895757,0.232569823,0.629624856,0.98077436,LOW QUALITY PROTEIN: TBC1 domain family member 23-like
gene10322,-0.485500106,4.526190612,2.073489683,0.149878237,0.876795226,LOW QUALITY PROTEIN: E3 ubiquitin-protein ligase CBL-like
gene10325,-0.467858285,6.455536776,1.035856177,0.308787178,0.932260097,von Willebrand factor C domain-containing protein 2-like
gene10327,0.528401479,5.007063124,1.336971679,0.247568726,0.921352369,uncharacterized protein LOC111125308 isoform X1
gene10334,-0.675263225,3.504126758,0.301203709,0.583128786,0.97701797,T-box transcription factor TBX20-like isoform X1
gene1034,-0.501486811,6.633528135,3.063116685,0.080087917,0.80177308,LOW QUALITY PROTEIN: protein lifeguard 3-like
gene10340,-0.282225145,4.066799441,0.391144743,0.53169829,0.967268978,uncharacterized protein LOC111126902
gene10341,-0.360305269,2.739934371,0.240298642,0.623990503,0.979866759,zinc finger protein 271-like
gene10344,-0.40931931,3.820162908,0.914821743,0.338838297,0.932260097,"28S ribosomal protein S2, mitochondrial-like"
gene10345,-0.132474003,6.691077492,0.150478596,0.698078414,0.984986922,uncharacterize lncRNA
gene10346,-0.427360072,4.084762403,0.13675188,0.711531677,0.986220354,neuronal acetylcholine receptor subunit alpha-6-like
gene10347,-0.548737782,3.767096133,1.158058576,0.281868539,0.928733489,heat shock 70 kDa protein 12B-like isoform X1
gene10348,0.670321219,4.18395527,0.935381095,0.333468544,0.932260097,uncharacterized protein LOC111124786
gene10350,-0.715448107,3.312220663,1.090491235,0.296362393,0.931461638,uncharacterized protein LOC111124777
gene10351,-0.237842611,2.788028514,0.077523081,0.780682547,0.988155915,uncharacterized protein LOC111124789
gene10354,-0.528197343,2.901172551,0.772195804,0.379538619,0.939088885,MAGUK p55 subfamily member 6-like
gene10355,-1.648918744,6.511313468,5.971461015,0.01453923,0.537211379,uncharacterized protein LOC111124799
gene10356,-0.379019956,3.635937175,0.124031872,0.724702083,0.986220354,protein mesh-like
gene10358,1.200203758,6.209573518,5.533412255,0.018656686,0.570120446,uncharacterized protein LOC111124763
gene1036,-0.148595222,6.157423647,0.217885108,0.640656106,0.981107713,U1 small nuclear ribonucleoprotein A-like
gene10364,0.546784174,2.972336014,0.634099122,0.425855704,0.951191006,protocadherin-11 X-linked-like
gene10366,1.250261892,2.930395185,1.716668866,0.1901224,0.898420206,protocadherin-9-like isoform X1
gene10368,-0.548036927,2.974441769,0.776961113,0.378072154,0.939088885,zinc finger matrin-type protein 5-like
gene10369,-0.97184614,2.668609982,1.134498139,0.286817907,0.928733489,NEDD4 family-interacting protein 1-like
gene1037,-0.059094895,7.203401213,0.061000638,0.804921324,0.991016053,LOW QUALITY PROTEIN: transcriptional activator protein Pur-beta-B-like
gene10372,-0.481012219,3.982963946,0.535672056,0.464231922,0.956091449,uncharacterized protein LOC111124779
gene10377,-1.696910098,3.124981895,5.924706479,0.014930025,0.537678146,MAGUK p55 subfamily member 6-like
gene10378,0.164698942,6.439504437,0.051189242,0.821006676,0.992241237,uncharacterized protein LOC111124800
gene10379,-1.13865876,4.457862251,1.61989562,0.203106342,0.904122737,protein mesh-like
gene10381,-0.156005301,2.614936044,0.042108307,0.837413457,0.992241237,protein mesh-like
gene10385,-0.899288381,3.607028152,0.602787266,0.43751653,0.953854878,protein mesh-like isoform X1
gene10388,0.401498022,4.924171457,0.770865083,0.379949565,0.939088885,protocadherin-11 X-linked-like
gene10389,-0.537576651,3.379835876,0.431909099,0.511053666,0.964299122,protocadherin-9-like isoform X1
gene10390,0.088629176,2.931800376,0.024751158,0.874988712,0.993795637,zinc finger matrin-type protein 5-like isoform X1
gene10391,-0.34340088,6.249567997,1.233756383,0.266677753,0.925547887,NEDD4 family-interacting protein 1-like
gene10393,0.061478485,6.03721867,0.03540239,0.850754968,0.993015535,epidermal growth factor receptor-like isoform X1
gene10394,0.336123476,4.216023298,0.499579295,0.479685035,0.959052081,tyrosine-protein phosphatase non-receptor type 23-like isoform X1
gene10396,-1.021429437,2.530751745,1.818964872,0.17743654,0.893206937,centromere protein S-like
gene10398,0.004656304,6.475144516,0.000185522,0.989132639,0.999243796,dipeptidyl peptidase 4-like isoform X1
gene10399,-0.77839322,3.751562694,0.986956017,0.32048749,0.932260097,acetylcholine receptor subunit beta-like
gene104,1.080671526,4.035913518,2.472696213,0.115839063,0.847057138,interferon-induced protein 44-like
gene1040,-0.114059995,7.336664763,0.367951854,0.544122805,0.969301011,CCR4-NOT transcription complex subunit 4-like isoform X1
gene10401,0.549123286,3.173103185,0.281956234,0.595421889,0.978656963,probable Xaa-Pro aminopeptidase P
gene10402,-0.744631297,3.941752413,1.393594143,0.237799072,0.916485286,uncharacterized protein LOC111126075 isoform X1
gene10405,-0.490146853,3.479425872,0.19433803,0.659330374,0.98215499,uncharacterized protein LOC111126777
gene10409,-0.616847724,4.576836388,1.643092098,0.199901747,0.902231228,uncharacterized protein LOC111126841
gene10411,0.47505617,5.105793144,0.888573134,0.345864268,0.932260097,neuromedin-U receptor 2-like
gene10412,0.006354751,5.012369061,0.00017796,0.989356397,0.999243796,protein capicua homolog isoform X1
gene10413,-0.141438066,2.344564281,0.022092692,0.881840782,0.993795637,UPF0686 protein C11orf1-like
gene10416,0.50856235,6.800278463,2.618865388,0.105599924,0.835280082,"LOW QUALITY PROTEIN: arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1-like"
gene10417,0.073972392,5.067791256,0.037198708,0.847061042,0.992349016,F-box only protein 8-like
gene10418,0.413599237,6.146286603,2.286770578,0.130481163,0.861967549,E3 ubiquitin-protein ligase MYCBP2-like isoform X1
gene10419,-0.094490881,3.60747469,0.022862441,0.87981534,0.993795637,E3 ubiquitin-protein ligase MYCBP2-like
gene10420,-0.436766841,7.708556618,2.412215264,0.120391891,0.851857273,GRIP and coiled-coil domain-containing protein 2-like isoform X1
gene10422,-2.117134168,5.446160895,5.430586441,0.019787033,0.572691671,uncharacterized protein LOC111122671
gene10423,-1.153458878,4.755107192,2.44553642,0.117859589,0.849319573,uncharacterized protein LOC111127020
gene10425,-0.310077039,7.223668431,1.552034554,0.212835337,0.908487414,protocadherin gamma-B4-like
gene10426,-0.029130693,2.872141647,0.000950027,0.975411089,0.998340714,COMM domain-containing protein 6
gene10428,-0.334004682,6.929384854,1.215064753,0.270331375,0.927720962,LOW QUALITY PROTEIN: caltractin-like
